index,CID,SMILES
14563,DAR-DIA-0d514e7d-12,C[C@H]1COc2c(-c3ccc(F)cc3F)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14564,DAR-DIA-0d514e7d-13,C[C@H]1COc2c(-c3ccc(F)cc3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14565,DAR-DIA-0d514e7d-14,C[C@H]1COc2c(-c3cccc(F)c3F)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14566,DAR-DIA-0d514e7d-15,C[C@H]1COc2c(-c3cc(F)ccc3F)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14567,DAR-DIA-0d514e7d-16,C[C@H]1COc2c(-c3ccccc3F)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14568,DAR-DIA-0d514e7d-17,C[C@H]1COc2c(-c3cc(F)cc(F)c3)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14569,DAR-DIA-0d514e7d-18,C[C@H]1COc2c(OC(F)(F)F)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14570,DAR-DIA-0d514e7d-19,C[C@H]1COc2c(OC(C)(C)C)cc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
14571,DAR-DIA-0d514e7d-20,C[C@H]1COc2c(cc(Cl)cc2N2CCOCC2)[C@@H]1C(=O)Nc1cncc2ccccc12
14572,DAR-DIA-0d514e7d-21,C[C@H]1COc2c(cc(Cl)cc2N2CCNCC2)[C@@H]1C(=O)Nc1cncc2ccccc12
14573,DAR-DIA-0d514e7d-22,C[C@H]1COc2c(cc(Cl)cc2N2CCN(C)CC2)[C@@H]1C(=O)Nc1cncc2ccccc12
14574,DAR-DIA-0d514e7d-23,C[C@H]1COc2c(cc(Cl)cc2N2CCCC2)[C@@H]1C(=O)Nc1cncc2ccccc12
14575,DAR-DIA-0d514e7d-24,CC(C)Cc1cc(Cl)cc2c1OC[C@H](C)[C@H]2C(=O)Nc1cncc2ccccc12
14576,DAR-DIA-0d514e7d-25,COc1cc(Cl)cc2c1OC[C@H](C)[C@@]2(C)C(=O)Nc1cncc2ccccc12
14577,DAR-DIA-0d514e7d-26,COc1cc(Cl)cc2c1OC[C@@H](C)[C@@]2(C)C(=O)Nc1cncc2ccccc12
14578,DAR-DIA-0d514e7d-27,COc1cc(Cl)cc2c1OCC(C)(C)[C@@]2(C)C(=O)Nc1cncc2ccccc12
14579,DAR-DIA-0d514e7d-28,C[C@H]1COc2ccc(Cl)cc2[C@]1(C)C(=O)Nc1cncc2ccccc12
14580,DAR-DIA-0d514e7d-29,C[C@@H]1COc2ccc(Cl)cc2[C@]1(C)C(=O)Nc1cncc2ccccc12
14581,DAR-DIA-0d514e7d-30,CC1(C)COc2ccc(Cl)cc2[C@]1(C)C(=O)Nc1cncc2ccccc12
14584,DAR-DIA-0d514e7d-33,O=C(Nc1cncc2ccccc12)[C@H]1c2cc(Cl)ccc2OC2CC21
14625,ALP-POS-d3acb8cc-1,C[C@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
14628,ALP-POS-d3acb8cc-4,C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
14639,VLA-UCB-551c2366-1,CN(C)c1ccc([C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1
14732,FRA-DIA-a1f3a927-1,C=C(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
14759,BEN-DND-4f474d93-1,O=C(Nc1cncc2cnccc12)[C@@H]1CCOc2ccc(Cl)cc21
14760,BEN-DND-4f474d93-2,O=C(Nc1cncc2ccncc12)[C@@H]1CCOc2ccc(Cl)cc21
14778,EDJ-MED-eff36d94-1,O=C(Nc1c[n+]([O-])cc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
15038,DAR-DIA-5ff57136-1,C=CC(=O)N(C(=O)[C@H]1c2cc(Cl)ccc2OC[C@H]1C)c1cncc2ccccc12
15039,DAR-DIA-5ff57136-2,C=CC(=O)N(C(=O)[C@H]1c2cc(Cl)ccc2OC[C@@H]1C)c1cncc2ccccc12
15046,DAR-DIA-5ff57136-9,COC(=O)/C=C/C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15047,DAR-DIA-5ff57136-10,N#CC#CN(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15048,DAR-DIA-5ff57136-11,C=C=CC(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15049,DAR-DIA-5ff57136-12,O=C([C@@H]1CCOc2ccc(Cl)cc21)N(C#CC1CCCN1)c1cncc2ccccc12
15050,DAR-DIA-5ff57136-13,C#CCN(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15051,DAR-DIA-5ff57136-14,C#CC(C)(C)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15052,DAR-DIA-5ff57136-15,C#CC1(N(C(=O)[C@@H]2CCOc3ccc(Cl)cc32)c2cncc3ccccc23)CC1
15053,DAR-DIA-5ff57136-16,C#CC(C)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15054,DAR-DIA-5ff57136-17,O=C([C@@H]1CCOc2ccc(Cl)cc21)N(CC#CBr)c1cncc2ccccc12
15055,DAR-DIA-5ff57136-18,O=C([C@@H]1CCOc2ccc(Cl)cc21)N(N=C=S)c1cncc2ccccc12
15056,DAR-DIA-5ff57136-19,CN(C)C/C=C/C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
15064,EDJ-MED-12f7f543-1,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ncc(Cl)cc21
15132,EDG-MED-971238d3-1,O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21
15133,EDG-MED-971238d3-2,O=C(Nc1cncc2ccccc12)[C@]1(CO)CCOc2ccc(Cl)cc21
15134,EDG-MED-971238d3-3,O=C(Nc1cncc2ccccc12)[C@]1(CCO)CCOc2ccc(Cl)cc21
15135,EDG-MED-971238d3-4,N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15136,EDG-MED-971238d3-5,NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15137,EDG-MED-971238d3-6,NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15138,EDG-MED-971238d3-7,NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15139,EDG-MED-971238d3-8,O=C(Nc1cncc2ccccc12)[C@]1(CCCO)CCOc2ccc(Cl)cc21
15140,EDG-MED-971238d3-9,O=C(O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15141,EDG-MED-971238d3-10,O=C(O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15142,EDG-MED-971238d3-11,O=C(O)[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15143,BEN-DND-a7517465-1,Cc1cccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c12
15144,BEN-DND-a7517465-2,O=C(Nc1cncc2cccc(O)c12)[C@@H]1CCOc2ccc(Cl)cc21
15145,BEN-DND-a7517465-3,O=C(Nc1cncc2cccc(Cl)c12)[C@@H]1CCOc2ccc(Cl)cc21
15146,BEN-DND-a7517465-4,C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15147,BEN-DND-a7517465-5,O=C(Nc1cncc2cccc(F)c12)[C@@H]1CCOc2ccc(Cl)cc21
15148,BEN-DND-a7517465-6,COc1cccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c12
15150,BEN-DND-a7517465-8,O=C(Nc1cncc2c1CNCC2)[C@@H]1CCOc2ccc(Cl)cc21
15151,BEN-DND-a7517465-9,CN1CCc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c2C1
15152,BEN-DND-a7517465-10,O=C(Nc1cncc2c1COCC2)[C@@H]1CCOc2ccc(Cl)cc21
15179,LAU-MED-88a3970a-1,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(OCCO)cc(Cl)cc21
15181,LAU-MED-88a3970a-3,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(OCCCO)cc(Cl)cc21
