index,CID,SMILES,mHash,mHashGeneric
2450,MAK-UNK-e4a48a85-19,Cc1cc(CN2CCN(C(=O)CCl)CC2)ccc1C1OC(CO)C(OCN2CCC(O)CC2)C1O,c1cc(C2CC(OCN3CCCCC3)CO2)ccc1CN1CCNCC1,C1CCC(CCC2CCC(C3CCC(CC4CCCCC4)CC3)C2)CC1
2451,MAK-UNK-e4a48a85-20,O=C(CCl)N1CCN(Cc2ncc(Cc3ccsc3)s2)CC1,c1cc(Cc2cnc(CN3CCNCC3)[s]2)c[s]1,C1CCC(CC2CCC(CC3CCCC3)C2)CC1
2452,MAK-UNK-e4a48a85-21,O=C(CCl)N1CCN(Cc2cnc(Cc3ccsc3)s2)CC1,c1cc(Cc2ncc(CN3CCNCC3)[s]2)c[s]1,C1CCC(CC2CCC(CC3CCCC3)C2)CC1
2453,MAK-UNK-e4a48a85-22,Nc1nc(CN2CCN(C(=O)CCl)CC2)ncc1Cc1ccsc1,c1cc(Cc2cnc(CN3CCNCC3)nc2)c[s]1,C1CCC(CC2CCC(CC3CCCC3)CC2)CC1
2454,MAK-UNK-e4a48a85-23,CNc1nc(CN2CCN(C(=O)CCl)CC2)ncc1-c1ccsc1,c1cc(-c2cnc(CN3CCNCC3)nc2)c[s]1,C1CCC(CC2CCC(C3CCCC3)CC2)CC1
2455,MAK-UNK-e4a48a85-24,CC1CCC(OCc2ccsc2)C(CN2CCN(C(=O)CCl)CC2)C1,c1cc(COC2CCCCC2CN2CCNCC2)c[s]1,C1CCC(CC2CCCCC2CCC2CCCC2)CC1
2456,MAK-UNK-e4a48a85-25,Cc1nc(CN2CCN(C(=O)CCl)CC2)c(CCCc2ccsc2)c(=O)[nH]1,C1=NC(CN2CCNCC2)=C(CCCc2cc[s]c2)CN1,C1CCC(CC2CCCCC2CCCC2CCCC2)CC1
2457,MAK-UNK-e4a48a85-26,Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1C(=O)N1CCC(O)CC1,c1ccc(CN2CCNCC2)c(CN2CCCCC2)c1,C1CCC(CC2CCCCC2CC2CCCCC2)CC1
2458,MAK-UNK-e4a48a85-27,Cc1nc(CN2CCN(C(=O)CCl)CC2)c(NCc2cccc(O)c2)c(=O)[nH]1,C1=NC(CN2CCNCC2)=C(NCc2ccccc2)CN1,C1CCC(CCC2CCCCC2CC2CCCCC2)CC1
2459,PAU-UNI-8cdd41c7-1,O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
2460,PAU-UNI-f4334617-1,NS(=O)(=O)c1ccc2c(c1)N(CCCCC1CCCN(C(=O)CCl)C1)CCC2,c1ccc2c(c1)CCCN2CCCCC1CCCNC1,C1CCC(CCCCC2CCCC3CCCCC23)CC1
2461,PAU-UNI-52c0427f-1,CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,c1cncc(CN2CCNCC2)c1,C1CCC(CC2CCCCC2)CC1
2462,PAU-UNI-b2b6b158-1,O=C(CCl)N1CCN(Cc2scc3ccccc23)CC1,c1ccc2c(CN3CCNCC3)[s]cc2c1,C1CCC(CC2CCC3CCCCC32)CC1
2463,WES-WAB-2b40d25a-1,CC(CNc1cncc(CCNC(=O)Nc2ccccc2)c1)Nc1ccccc1,c1ccc(NCCNc2cncc(CCNCNc3ccccc3)c2)cc1,C1CCC(CCCCCC2CCCC(CCCCC3CCCCC3)C2)CC1
2464,WES-WAB-adc860f2-1,NC(O)C1CCCC1C(C1C=CC=C1)N1C=CC(O)C=C1,C1=CC(C(C2CCCC2)N2C=CCC=C2)C=C1,C1CCC(C(C2CCCC2)C2CCCC2)CC1
2465,ANT-OPE-7c194559-1,CCC(=O)NCC[C@@H]1CCc2ccccc21,c1ccc2c(c1)CCC2,C1CCC2CCCC2C1
2466,ANT-OPE-b90194ad-1,C=CC(=O)NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,c1cc(NCc2ccc3[nH]cnc3c2)c2[nH]ccc2c1,C1CC2CCC(CCC3CCCC4CCCC43)CC2C1
2467,AVI-UNI-a66764d4-1,O=C(CCl)NC1=Nc2ccccc2Sc2ccc(Cl)cc21,C1=Nc2ccccc2Sc2ccccc21,C1CCC2CC3CCCCC3CCC2C1
2468,AVI-UNI-a66764d4-2,O=C(CCl)NC1=Nc2cc(C(=O)O)ccc2Sc2ccc(Cl)cc21,C1=Nc2ccccc2Sc2ccccc21,C1CCC2CC3CCCCC3CCC2C1
2469,AVI-UNI-a66764d4-3,NC(=O)c1ccc2c(c1)Sc1ccc(Cl)cc1C(NC(=O)CCl)=N2,C1=Nc2ccccc2Sc2ccccc21,C1CCC2CC3CCCCC3CCC2C1
2470,VIT-UNK-525497ca-1,Oc1cc(O)cc(CC2CC(CC3CCNC3)C(C(O)CCl)CN2)c1,c1ccc(CC2CC(CC3CCNC3)CCN2)cc1,C1CCC(CC2CCCC(CC3CCCC3)C2)CC1
2471,VIT-UNK-525497ca-2,Oc1cc(O)cc(NC2OC(CC3CCNC3)C(C(O)CCl)CC2F)c1,c1ccc(NC2CCCC(CC3CCNC3)O2)cc1,C1CCC(CC2CCCC(CC3CCCC3)C2)CC1
2472,VIT-UNK-525497ca-3,CC(C)(O)C1CC(F)C(Nc2cc(O)cc(O)c2)OC1CC1CCNC1,c1ccc(NC2CCCC(CC3CCNC3)O2)cc1,C1CCC(CC2CCCC(CC3CCCC3)C2)CC1
2473,VIT-UNK-525497ca-4,Oc1cc(O)cc(NC2OCC(C(O)CCl)CC2F)c1,c1ccc(NC2CCCCO2)cc1,C1CCC(CC2CCCCC2)CC1
2474,VIT-UNK-525497ca-5,O=C1NC(=O)C(CCCC(O)C2COC(Nc3cc(O)cc(O)c3)C(F)C2)N1,c1ccc(NC2CCC(CCCCC3CNCN3)CO2)cc1,C1CCC(CC2CCC(CCCCC3CCCC3)CC2)CC1
2475,VIT-UNK-525497ca-6,NC(=O)/C=C/CCC(O)C1COC(Nc2cc(O)cc(O)c2)C(F)C1,c1ccc(NC2CCCCO2)cc1,C1CCC(CC2CCCCC2)CC1
2476,VIT-UNK-525497ca-7,NC(=O)/C=C/CCC(O)C1CNC(Cc2cc(O)cc(O)c2)CC1CC1CCNC1,c1ccc(CC2CC(CC3CCNC3)CCN2)cc1,C1CCC(CC2CCCC(CC3CCCC3)C2)CC1
2477,VIT-UNK-525497ca-8,O=C1NC(=O)C(CCCC(O)C2CNC(Cc3cc(O)cc(O)c3)CC2CC2CCNC2)N1,c1ccc(CC2CC(CC3CCNC3)C(CCCCC3CNCN3)CN2)cc1,C1CCC(CC2CCC(CCCCC3CCCC3)C(CC3CCCC3)C2)CC1
